tick,lane,energy,coherence,fitness,best_fitness,delta,coupling,blend,decay,soliton_nd,mutations,improvements,stagnation,pressure_us
0,0,131072,65535,0,0,17,64,192,0,129,0,0,0,4
0,1,131072,65535,0,0,17,64,192,0,130,0,0,0,4
0,2,131072,65535,0,0,17,64,192,0,139,0,0,0,4
0,3,131072,65535,0,0,17,64,192,0,148,0,0,0,5
0,4,131072,65535,0,0,17,64,192,0,124,0,0,0,5
0,5,131072,65535,0,0,17,64,192,0,126,0,0,0,5
0,6,131072,65535,0,0,17,64,192,0,144,0,0,0,4
0,7,131072,65535,0,0,17,64,192,0,127,0,0,0,4
5000,0,116736,65535,387,387,19,59,177,2,129,26,1,9,7
5000,1,116736,65535,386,387,9,54,224,5,130,28,1,1,4
5000,2,133120,65535,387,387,3,70,184,2,139,30,1,16,6
5000,3,108544,65535,387,387,5,62,197,2,148,34,1,2,5
5000,4,139264,65535,386,387,34,54,171,5,124,22,1,6,6
5000,5,204800,65535,386,387,6,84,164,0,126,24,1,4,5
5000,6,131072,65535,387,387,1,48,166,0,144,36,1,37,5
5000,7,43008,65535,387,387,13,22,154,4,127,32,1,0,5
10000,0,116736,65535,386,387,11,53,202,6,129,63,1,1,5
10000,1,108544,65535,387,387,15,37,224,8,130,53,1,15,5
10000,2,163840,65535,387,387,1,75,195,3,139,63,1,22,5
10000,3,126976,65535,387,387,5,58,197,6,148,49,1,1,5
10000,4,83968,65535,387,387,63,25,159,7,124,49,1,22,5
10000,5,188416,65535,387,387,1,92,162,0,126,38,1,0,5
10000,6,153600,65535,386,387,14,59,159,7,144,65,1,4,5
10000,7,79872,65535,386,387,11,28,161,5,127,58,1,3,5
15000,0,116736,65535,387,387,5,41,216,6,129,88,1,8,4
15000,1,75776,65535,387,387,41,21,168,8,130,92,1,54,5
15000,2,155648,65535,387,387,9,61,185,6,139,102,1,61,5
15000,3,129024,65535,387,387,4,51,154,8,148,80,1,3,4
15000,4,63488,65535,387,387,70,15,112,8,124,86,1,11,4
15000,5,200704,65535,386,387,1,94,190,0,126,53,1,1,5
15000,6,120832,65535,387,387,19,59,129,6,144,77,1,0,5
15000,7,116736,65535,387,387,14,49,149,7,127,83,1,2,5
20000,0,104448,65535,387,387,25,35,224,6,129,128,1,48,4
20000,1,61440,65535,387,387,49,14,143,6,130,130,1,31,4
20000,2,188416,65535,386,387,35,77,224,6,139,138,1,5,4
20000,3,100352,65535,387,387,2,49,198,8,148,101,1,0,4
20000,4,67584,65535,386,387,94,25,167,6,124,108,1,2,4
20000,5,178176,65535,387,387,1,112,173,2,126,81,1,1,4
20000,6,120832,65535,387,387,19,60,129,5,144,92,1,0,4
20000,7,133120,65535,387,387,12,49,140,7,127,107,1,8,4
25000,0,32768,65535,387,387,11,0,147,8,129,166,1,24,4
25000,1,43008,65535,387,387,11,17,159,8,130,149,1,1,4
25000,2,98304,65535,386,387,11,32,197,8,139,175,1,37,4
25000,3,110592,65535,387,387,1,38,213,6,148,137,1,32,4
25000,4,45056,65535,387,387,98,18,169,6,124,123,1,1,4
25000,5,116736,65535,387,387,8,97,181,1,126,102,1,6,4
25000,6,114688,65535,387,387,18,57,113,5,144,105,1,0,4
25000,7,141312,65535,386,387,12,57,132,7,127,126,1,3,4
30000,0,69632,65535,387,387,15,26,71,8,129,201,1,2,4
30000,1,32768,65535,387,387,13,0,220,6,130,186,1,33,5
30000,2,126976,65535,387,387,17,46,224,8,139,212,1,38,5
30000,3,69632,65535,386,387,1,30,162,8,148,158,1,1,5
30000,4,32768,65535,387,387,5,16,158,6,124,143,1,0,5
30000,5,200704,65535,386,387,16,95,139,6,126,127,1,1,5
30000,6,100352,65535,387,387,11,49,63,8,144,128,1,0,5
30000,7,120832,65535,387,387,31,43,143,8,127,149,1,4,5
35000,0,43008,65535,387,387,1,5,123,8,129,234,1,28,5
35000,1,24576,65535,387,387,1,0,210,2,130,225,1,72,5
35000,2,110592,65535,387,387,1,50,212,8,139,247,1,1,5
35000,3,61440,65535,387,387,7,26,160,8,148,171,1,1,5
35000,4,38912,65535,387,387,20,19,138,8,124,167,1,0,5
35000,5,198656,65535,387,387,16,92,123,5,126,141,1,2,5
35000,6,129024,65535,387,387,18,47,81,7,144,156,1,16,5
35000,7,124928,65535,387,387,37,57,143,6,127,165,1,1,5
40000,0,38912,65535,387,387,1,3,167,6,129,273,1,67,4
40000,1,32768,65535,387,387,23,0,214,6,130,264,1,111,4
40000,2,124928,65535,387,387,3,45,221,8,139,270,1,9,4
40000,3,53248,65535,387,387,6,26,147,8,148,185,1,0,4
40000,4,40960,65535,387,387,8,20,121,7,124,184,1,0,4
40000,5,196608,65535,387,387,10,84,140,8,126,158,1,3,4
40000,6,75776,65535,387,387,22,21,63,8,144,195,1,55,4
40000,7,116736,65535,387,387,29,41,152,8,127,186,1,7,4
45000,0,65536,65535,387,387,39,24,185,8,129,304,1,2,4
45000,1,114688,65535,387,387,7,40,224,6,130,297,1,14,4
45000,2,100352,65535,387,387,9,33,113,6,139,309,1,48,4
45000,3,59392,65535,387,387,3,29,147,8,148,198,1,0,4
45000,4,49152,65535,387,387,1,24,100,8,124,201,1,0,4
45000,5,241664,65535,387,387,23,102,164,8,126,181,1,15,4
45000,6,61440,65535,387,387,19,14,32,8,144,230,1,25,4
45000,7,51200,65535,387,387,43,9,207,7,127,223,1,5,4
50000,0,102400,65535,387,387,42,34,195,6,129,321,1,7,4
50000,1,124928,65535,387,387,13,45,203,8,130,318,1,4,4
50000,2,67584,65535,387,387,1,19,99,4,139,348,1,87,4
50000,3,49152,65535,387,387,7,8,167,8,148,234,1,35,4
50000,4,55296,65535,386,387,8,23,85,7,124,216,1,1,4
50000,5,262144,65535,387,387,22,120,180,8,126,204,1,2,4
50000,6,32768,65535,387,387,9,0,56,8,144,269,1,64,4
50000,7,32768,65535,387,387,11,0,193,8,127,262,1,44,4
55000,0,110592,65535,387,387,15,39,143,5,129,358,1,13,4
55000,1,83968,65535,387,387,7,27,212,4,130,357,1,43,4
55000,2,63488,65535,386,387,15,27,73,8,139,383,1,1,4
55000,3,77824,65535,386,387,11,22,177,0,148,273,1,74,4
55000,4,79872,65535,386,387,3,27,120,8,124,233,1,3,4
55000,5,249856,65535,387,387,15,110,180,7,126,219,1,3,4
55000,6,30720,65535,387,387,1,0,32,4,144,308,1,103,4
55000,7,47104,65535,387,387,1,23,194,8,127,286,1,0,4
60000,0,75776,65535,387,387,22,33,171,2,129,393,1,11,5
60000,1,59392,65535,386,387,11,26,185,4,130,380,1,1,5
60000,2,71680,65535,387,387,10,27,56,7,139,396,1,2,4
60000,3,61440,65535,386,387,15,36,184,2,148,290,1,1,4
60000,4,110592,65535,387,387,14,38,142,8,124,258,1,20,5
60000,5,221184,65535,386,387,22,93,166,6,126,244,1,6,4
60000,6,32768,65535,387,387,1,0,128,8,144,347,1,142,5
60000,7,32768,65535,387,387,21,0,186,8,127,324,1,39,4
65000,0,61440,65535,387,387,1,14,138,8,129,430,1,30,4
65000,1,71680,65535,386,387,12,32,172,5,130,393,1,1,4
65000,2,65536,65535,387,387,6,24,50,8,139,409,1,2,4
65000,3,67584,65535,387,387,21,35,184,2,148,303,1,2,4
65000,4,90112,65535,387,387,1,28,114,8,124,297,1,59,4
65000,5,143360,65535,387,387,32,56,170,5,126,269,1,19,4
65000,6,36864,65535,387,387,23,18,212,8,144,383,1,0,4
65000,7,61440,65535,387,387,63,14,154,6,127,363,1,78,4
70000,0,57344,65535,387,387,18,20,104,7,129,449,1,2,4
70000,1,61440,65535,387,387,1,16,179,4,130,410,1,6,4
70000,2,40960,65535,387,387,16,4,70,7,139,436,1,19,4
70000,3,124928,65535,387,387,22,53,200,8,148,328,1,2,4
70000,4,0,65535,387,387,15,0,150,8,124,329,1,0,4
70000,5,67584,65535,387,387,56,17,224,8,126,306,1,25,4
70000,6,73728,65535,386,387,9,28,224,8,144,401,1,2,4
70000,7,59392,65535,387,387,62,29,170,8,127,391,1,0,4
75000,0,32768,65535,387,387,39,0,110,6,129,488,1,41,4
75000,1,36864,65535,387,387,26,2,143,5,130,443,1,12,4
75000,2,32768,65535,387,387,1,0,32,8,139,475,1,58,4
75000,3,51200,65535,387,387,23,9,224,5,148,363,1,34,4
75000,4,8192,65535,383,387,15,0,150,8,124,329,1,1,4
75000,5,43008,65535,387,387,54,21,224,8,126,324,1,0,4
75000,6,94208,65535,387,387,8,30,198,7,144,420,1,11,4
75000,7,129024,65535,387,387,64,47,169,8,127,416,1,18,4
80000,0,24576,65535,387,387,15,0,152,2,129,527,1,80,4
80000,1,32768,65535,387,387,38,0,111,6,130,482,1,51,4
80000,2,32768,65535,387,387,1,0,32,8,139,512,1,20,4
80000,3,59392,65535,387,387,23,17,220,3,148,400,1,37,4
80000,4,0,65535,387,387,15,0,150,8,124,329,1,0,4
80000,5,47104,65535,387,387,54,23,224,7,126,341,1,0,4
80000,6,32768,65535,387,387,63,0,224,8,144,457,1,20,4
80000,7,108544,65535,387,387,100,37,157,8,127,455,1,57,4
85000,0,32768,65535,387,387,17,16,102,0,129,565,1,0,4
85000,1,40960,65535,387,387,34,4,45,8,130,521,1,90,4
85000,2,36864,65535,387,387,5,2,32,8,139,551,1,59,4
85000,3,47104,65535,387,387,36,23,209,8,148,424,1,0,4
85000,4,8192,65535,383,387,15,0,150,8,124,329,1,1,4
85000,5,32768,65535,387,387,59,16,216,6,126,360,1,0,4
85000,6,32768,65535,387,387,21,0,224,8,144,496,1,59,4
85000,7,120832,65535,387,387,78,43,75,8,127,494,1,96,4
90000,0,61440,65535,387,387,8,18,129,3,129,595,1,9,5
90000,1,53248,65535,387,387,70,10,37,8,130,560,1,129,5
90000,2,57344,65535,387,387,7,12,56,6,139,590,1,98,5
90000,3,49152,65535,386,387,31,20,220,6,148,444,1,1,5
90000,4,0,65535,387,387,15,0,150,8,124,329,1,0,5
90000,5,61440,65535,387,387,38,16,209,4,126,382,1,8,5
90000,6,40960,65535,387,387,17,20,188,8,144,530,1,0,5
90000,7,116736,65535,387,387,77,53,65,8,127,513,1,1,5
95000,0,51200,65535,387,387,4,10,89,4,129,630,1,29,4
95000,1,55296,65535,386,387,75,23,41,6,130,585,1,1,4
95000,2,90112,65535,386,387,1,36,33,6,139,609,1,2,4
95000,3,61440,65535,387,387,18,22,205,5,148,457,1,2,4
95000,4,8192,65535,383,387,15,0,150,8,124,329,1,1,4
95000,5,32768,65535,387,387,30,16,203,8,126,402,1,0,4
95000,6,38912,65535,387,387,14,19,210,8,144,549,1,0,4
95000,7,131072,65535,386,387,83,48,101,8,127,536,1,12,4
100000,0,28672,65535,387,387,5,18,100,2,129,653,1,0,5
100000,1,40960,65535,387,387,81,20,55,8,130,602,1,0,5
100000,2,90112,65535,386,387,1,33,46,5,139,643,1,3,5
100000,3,45056,65535,387,387,1,22,203,5,148,475,1,0,5
100000,4,8192,65535,383,387,15,0,150,8,124,329,1,1,5
100000,5,45056,65535,386,387,44,18,174,6,126,431,1,1,5
100000,6,32768,65535,387,387,13,0,224,8,144,578,1,22,5
100000,7,126976,65535,387,387,76,62,88,8,127,551,1,0,5
105000,0,59392,65535,387,387,35,18,128,4,129,683,1,3,5
105000,1,53248,65535,387,387,77,26,32,8,130,615,1,0,11
105000,2,120832,65535,387,387,41,55,48,8,139,668,1,1,12
105000,3,55296,65535,387,387,1,15,208,8,148,495,1,3,24
105000,4,0,65535,387,387,15,0,150,8,124,329,1,0,11
105000,5,47104,65535,387,387,51,23,179,8,126,451,1,0,42
105000,6,49152,65535,387,387,19,8,216,8,144,617,1,61,10
105000,7,112640,65535,386,387,74,51,54,8,127,565,1,1,13
110000,0,32768,65535,387,387,53,0,164,8,129,720,1,35,4
110000,1,63488,65535,386,387,75,19,32,8,130,629,1,3,5
110000,2,129024,65535,386,387,38,59,51,8,139,683,1,1,5
110000,3,63488,65535,387,387,7,27,196,8,148,512,1,1,5
110000,4,8192,65535,383,387,15,0,150,8,124,329,1,1,5
110000,5,67584,65535,386,387,43,17,179,7,126,471,1,5,5
110000,6,40960,65535,387,387,24,20,224,8,144,635,1,0,5
110000,7,137216,65535,386,387,75,63,59,8,127,580,1,1,5
115000,0,43008,65535,387,387,46,5,144,5,129,752,1,16,5
115000,1,77824,65535,386,387,81,26,32,7,130,650,1,3,5
115000,2,165888,65535,387,387,28,66,72,6,139,714,1,28,5
115000,3,57344,65535,387,387,9,28,193,8,148,526,1,0,5
115000,4,0,65535,387,387,15,0,150,8,124,329,1,0,5
115000,5,53248,65535,387,387,35,26,190,8,126,490,1,0,5
115000,6,24576,65535,387,387,38,0,196,2,144,665,1,25,5
115000,7,131072,65535,387,387,62,56,63,8,127,594,1,2,5
120000,0,32768,65535,387,387,38,0,169,8,129,789,1,17,4
120000,1,53248,65535,387,387,80,26,32,8,130,662,1,0,4
120000,2,124928,65535,387,387,36,45,76,7,139,747,1,6,4
120000,3,75776,65535,386,387,8,25,201,8,148,548,1,3,4
120000,4,8192,65535,383,387,15,0,150,8,124,329,1,1,4
120000,5,51200,65535,387,387,28,25,185,7,126,504,1,0,4
120000,6,53248,65535,387,387,42,10,224,6,144,704,1,64,4
120000,7,167936,65535,387,387,50,71,33,4,127,616,1,13,4
125000,0,30720,65535,387,387,26,0,203,4,129,828,1,56,4
125000,1,69632,65535,386,387,72,18,41,8,130,686,1,4,4
125000,2,135168,65535,386,387,26,63,55,6,139,763,1,1,4
125000,3,38912,65535,386,387,1,3,190,6,148,579,1,29,4
125000,4,0,65535,387,387,15,0,150,8,124,329,1,0,4
125000,5,51200,65535,386,387,28,21,206,8,126,520,1,1,4
125000,6,65536,65535,386,387,1,16,218,0,144,739,1,5,4
125000,7,174080,65535,386,387,38,81,43,8,127,637,1,1,4
130000,0,49152,65535,387,387,17,8,216,6,129,867,1,95,4
130000,1,40960,65535,387,387,66,4,32,8,130,717,1,27,4
130000,2,131072,65535,387,387,21,56,41,7,139,776,1,2,4
130000,3,55296,65535,387,387,9,27,206,5,148,601,1,0,4
130000,4,8192,65535,383,387,15,0,150,8,124,329,1,1,4
130000,5,110592,65535,387,387,28,38,134,6,126,551,1,27,4
130000,6,118784,65535,387,387,3,61,222,2,144,772,1,24,4
130000,7,141312,65535,387,387,27,53,37,8,127,668,1,23,4
135000,0,69632,65535,387,387,10,22,189,6,129,898,1,3,5
135000,1,40960,65535,387,387,68,20,84,8,130,748,1,0,5
135000,2,151552,65535,387,387,13,58,32,7,139,799,1,16,5
135000,3,98304,65535,387,387,7,32,203,7,148,618,1,5,5
135000,4,0,65535,387,387,15,0,150,8,124,329,1,0,5
135000,5,32768,65535,387,387,31,0,118,8,126,588,1,28,5
135000,6,141312,65535,386,387,20,61,183,8,144,803,1,2,5
135000,7,75776,65535,387,387,1,21,84,7,127,705,1,24,5
140000,0,61440,65535,387,387,14,14,203,8,129,917,1,4,4
140000,1,34816,65535,387,387,63,17,95,8,130,765,1,0,4
140000,2,63488,65535,386,387,1,15,32,8,139,836,1,17,4
140000,3,49152,65535,387,387,24,8,189,5,148,655,1,28,4
140000,4,8192,65535,383,387,15,0,150,8,124,329,1,1,4
140000,5,47104,65535,387,387,14,7,44,8,126,619,1,8,4
140000,6,167936,65535,387,387,6,66,189,8,144,824,1,14,4
140000,7,51200,65535,387,387,3,17,60,7,127,728,1,2,4
145000,0,8192,65535,383,387,3,0,183,6,129,946,1,1,5
145000,1,43008,65535,387,387,37,21,84,8,130,780,1,0,4
145000,2,51200,65535,386,387,1,21,62,8,139,855,1,1,4
145000,3,83968,65535,386,387,3,34,195,5,148,686,1,2,5
145000,4,0,65535,387,387,15,0,150,8,124,329,1,0,5
145000,5,55296,65535,386,387,54,23,62,8,126,652,1,1,4
145000,6,151552,65535,387,387,14,75,211,6,144,850,1,0,5
145000,7,69632,65535,387,387,1,18,87,7,127,747,1,4,4
150000,0,0,65535,387,387,3,0,183,6,129,946,1,0,4
150000,1,38912,65535,387,387,29,19,71,8,130,799,1,0,4
150000,2,77824,65535,386,387,1,22,81,8,139,872,1,4,4
150000,3,147456,65535,386,387,1,60,158,8,148,719,1,3,4
150000,4,8192,65535,383,387,15,0,150,8,124,329,1,1,4
150000,5,77824,65535,386,387,61,22,56,8,126,669,1,4,4
150000,6,239616,65535,387,387,1,101,224,8,144,882,1,15,4
150000,7,47104,65535,387,387,11,7,110,8,127,774,1,20,4
155000,0,8192,65535,383,387,3,0,183,6,129,946,1,1,5
155000,1,100352,65535,387,387,26,37,83,8,130,825,1,3,5
155000,2,51200,65535,387,387,1,21,90,8,139,887,1,1,5
155000,3,126976,65535,386,387,1,66,108,2,148,748,1,26,5
155000,4,0,65535,387,387,15,0,150,8,124,329,1,0,5
155000,5,92160,65535,386,387,64,33,65,6,126,684,1,3,5
155000,6,210944,65535,387,387,15,87,190,8,144,921,1,54,5
155000,7,32768,65535,387,387,13,0,32,8,127,813,1,59,5
160000,0,0,65535,387,387,3,0,183,6,129,946,1,0,4
160000,1,108544,65535,386,387,26,49,79,8,130,862,1,1,4
160000,2,40960,65535,387,387,9,4,94,8,139,911,1,5,4
160000,3,157696,65535,387,387,14,61,86,0,148,772,1,7,4
160000,4,8192,65535,383,387,15,0,150,8,124,329,1,1,4
160000,5,108544,65535,387,387,66,37,32,8,126,719,1,13,4
160000,6,186368,65535,387,387,1,77,129,5,144,958,1,10,4
160000,7,45056,65535,387,387,21,6,64,8,127,852,1,98,4
165000,0,8192,65535,383,387,3,0,183,6,129,946,1,1,4
165000,1,118784,65535,387,387,32,54,92,8,130,879,1,1,4
165000,2,63488,65535,387,387,7,23,76,6,139,934,1,2,4
